"no","sun","ins","kal"
,"cape","lelah",
,"capek","mengunyah",
,"capetang","pandai bicara",
,"caplang","tidak menarik hati",
,"capluk","mencaplok",
,"caram","melarang",
,"carang","tipis membayang, jarang",
,"careham","geraham",
,"carek","ucapan, melarang",
,"carem","punah, musnah",
,"caremot","berlepotan",
,"careraman","tertarik barang orang lain",
,"careuh","musang, luak",
,"carindakdak","berkaca-kaca airmata",
,"carios","cerita",
,"cariosna","ceritanya",
,"carita","cerita",
,"caroge","suami",
,"catang","batang pohon yang ditebang",
,"catrok","terantuk (dagu)",
,"cau","pisang",
,"cawad","mencela",
,"cawel","mencolek, jawil",
,"cawene","perawan, gadis",
,"cawerang","hambar",
,"cawis","sedia",
,"cawokah","porno",
,"ceblok","macet, sukar di cabut",
,"ceceb","nancap",
,"cecengkeleun","kram, kejang",
,"cecep","dingin, memberi uang ke anak yang sunat",
,"cecepet","sirip",
,"ceceremed","suka mencuri",
,"ceda","bekas luka",
,"cedit","kikir",
,"cedok atau cong",,
,"ceeh, teu ceehan",,
,"ceg atau kek",,
,"cegah","larang",
,"cegek","mencela",
,"cehcer","dipukul bertubi-tubi",
,"cekap","cukup",
,"cekas","jelas",
,"cekcok","gaduh, bertengkar",
,"cekel","pegang, bekal",
,"cela","mencela",
,"celak-celak","terlihat kecil dari kejauhan",
,"celebek","menyuap makanan dengan lahap",
,"celegedeg","berdiri tidak hormat",
,"celegon","duduk di tempat dekok",
,"celekit atau nyaletit ","menyakitkan ",
,"celengceng","jalan cepat sendirian",
,"celi","jeli, teliti",
,"celong","cekung, pias karena sakit keras",
,"celuk","manggil dengan suara keras",
,"cempad","mencela",
,"cemplong","kelihatan pantat",
,"cemplung","suara benda jatuh ke air",
,"cenah","kata orang ",
,"cenang","bisul kecil",
,"cengcle","benda yang menempel pada benda lain yang lebih besar",
,"cengek","cabe rawit",
,"cengeng","khusuk, tekad baja",
,"cenghar","segar, sehat kembali",
,"cengir","menyeringai",
,"cengkad","perselisihan, pertentangan",
,"cengkat","bangun, bangkit",
,"cengkir","kelapa yang kecil",
,"cengkrong","agak bengkok kaki/tangan",
,"cental","bertengkar, berbantahan",
,"centang","membidik",
,"centil","genit",
,"centok","menarik tiba-tiba",
,"centong","sendok nasi",
,"ceos","memadamkan api dengan air",
,"cepak","potongan rambut rata",
,"ceper",,
,"cepil","telinga",
,"ceplak","waktu makan keluar suara",
,"ceples","mirip sekali",
,"cepot",,
,"cepret","memukul dengan lidi",
,"ceprut","kentut",
,"cereces","suara yang digoreng",
,"cerek","menangkap",
,"cereleng","memancar (air)",
,"ceret","percik",
,"cerewed","bawel, cerewet",
,"cerewet atau jejerewetan ","cerewet ",
,"cerong atau camerong ","kotor oleh abu ",
,"ceta","tingkah yang dibuat-buat",
,"cetek","gampang, kecil",
,"cetrek","suara mengunci",
,"cetrok","gigit barang keras",
,"cetuk","sedah banyak uban",
,"ceuceu atau euceu ","kakak perempuan ",
,"ceuceub","benci",
,"ceudeum","mendung",
,"ceuk","kata",
,"ceukeukeuk","tertawa",
,"ceuleukeuteuk","terbahak-bahak",
,"ceuleupeung","tolol dungu",
,"ceuleuweung","berteriak/menyaniseenaknya",
,"ceuleuyeu","lesu, sayu matanya (ngantuk)",
,"ceuli","telinga",
,"ceulina","telinganya",
,"ceumpal","kain, kertas untuk memegang benda panas/kotor",
,"ceurik","nangis",
,"ceuyah","banyak karena sedang musim",
,"cewaw","ukuran mulut besar",
